id	english
sat-sermon_7-84	That you remember them and act upon them, so that they benefit you in your religion.
sat-sermon_7-126	May Allah preserve his strength in obedience to Him and mindfulness of Him. Servants of Allah, Allah has bestowed His favor upon this land.
sat-sermon_7-168	O Allah, bless Muhammad and the family of Muhammad as You blessed Abraham and the family of Abraham. Indeed, You are Praiseworthy and Glorious. O Allah, be pleased with the Rightly Guided Caliphs.
sat-sermon_8-107	At such times, the Muslim remembers brothers of his whom the bitter cold has bitten with its fangs.
sat-sermon_8-214	Except in the month of Ramadan. He, peace and blessings be upon him, said: That is a month
sat-sermon_9-446	If the world today were to adopt these great values
sat-sermon_10-86	The devils have never ceased lying in wait for the children of Adam, leading them astray from Allah's religion and from worshipping Him sincerely. Iblis swore to do so.
sat-sermon_10-172	It is no less than their need for Him to create and provide for them, and their dependence on Him to keep their bodies healthy, conceal their faults, and calm their fears.
sat-sermon_10-258	Or an account of Allah's honoring those who affirm His oneness and obey Him, and what He did for them in this world.
sat-sermon_10-344	Rather, it is delight and joy, with no fear, sorrow, or ruin. O My servants, there is no fear for you today, nor shall you grieve.
sat-sermon_11-86	Every path that brings them the means of happiness in this life and the next. Therefore, his mission, peace and blessings be upon him,
sat-sermon_11-173	He sends it in separate drops; no drop mixes with another, and the later ones do not precede
sat-sermon_11-259	The Bestower of blessings, Possessor of Majesty and Honor. I praise Him, Glorified is He, for His great favors and gifts.
sat-sermon_11-346	He said in the truest speech and finest words: Indeed, Allah and His angels send blessings upon the Prophet. O you who believe, send blessings upon him and greet him with peace.
sat-sermon_12-104	Until it tips the balance. On this scale, the servant's weight becomes light.
sat-sermon_12-314	And He guided them to what brings them success on the Day of Meeting. I bear witness that there is no deity but Allah alone, with no partner, and I bear witness that Muhammad is His servant and Messenger.
sat-sermon_12-419	Brothers in faith, with this pandemic continuing, we must
sat-sermon_13-92	Worse still is wasting it in sins, then regretting it when it is too late. And his saying, peace and blessings be upon him:
sat-sermon_13-184	And he does not refrain from benefiting others and giving. Among the examples of those outstanding men is Hammad ibn Salamah.
sat-sermon_13-276	He does not let the believers' reward go to waste. I praise Him, Most High, with abundant, good, and blessed praise, as befits the majesty of His countenance and the greatness of His authority.
sat-sermon_13-368	He does not remain where he is; rather, he falls back and loses, his condition worsens, and his deeds become shameful.
sat-sermon_14-50	He, Blessed and Exalted, said: Everyone upon it will perish, and the countenance of your Lord, Possessor of Majesty and Honor, will remain.
sat-sermon_14-100	And the evil of its punishment. Imagine, O human being, what follows: resurrection and rising, presentation and recompense, reckoning, and the bridge stretched over Hell.
sat-sermon_14-151	It is the heart's attachment to Allah, followed by taking the necessary means. And among the mercy of the Lord, Glorified is He,
sat-sermon_14-201	He, peace and blessings be upon him, said: Whoever sends one blessing upon me, Allah sends ten blessings upon him for it. O Allah, send blessings upon Muhammad and the family of Muhammad.
sat-sermon_15-78	When a person wants to pray, Satan intensifies his schemes and harm against him, because prayer is the distinguishing mark of the believer.
sat-sermon_15-157	The closest of them to him in rank is the one who causes the greatest discord. One of them comes and says: I did such and such.
sat-sermon_15-235	So that they become companions of the Blaze. May Allah benefit me and you through the guidance of the Book and the Sunnah of the Prophet who constantly turned to Him.
sat-sermon_15-314	When Allah is remembered, Satan withdraws, becomes small, and is humbled. That is why he is called
sat-sermon_16-95	In this stench and decay, as soon as one of them disagrees with his brother, wife, neighbor, or friend
sat-sermon_16-190	Making the concealed clear and obscuring what is clear. What will you say when you are questioned and held to account?
sat-sermon_16-381	O you who believe, send blessings upon him and greet him with peace. He, peace and blessings be upon him, said: Whoever sends a blessing upon me, Allah sends ten blessings upon him for it.
sat-sermon_17-96	Whose knowledge encompasses the finest hidden details. He knows the secret and what is still more hidden among the stirrings within hearts.
sat-sermon_17-192	When He brought me out of prison and brought you from the desert, after Satan had stirred discord between me and my brothers.
sat-sermon_17-288	And he enters Paradise. Ibn al-Qayyim, may Allah have mercy on him, said: For He, Glorified is He, is the Self-Sustaining Sustainer.
sat-sermon_17-384	The Prophet, peace and blessings be upon him, was the gentlest of people. Allah, Most High, praised him with His words:
sat-sermon_18-95	Let him give it up in this world. Narrated by al-Tabarani. And his saying, peace and blessings be upon him:
sat-sermon_18-191	He continues to have a supporter from Allah as long as he maintains those ties. Whoever leaves bad company and harmful companions, Allah replaces them with companions
sat-sermon_18-287	He attains goodness and is safe from the punishment of estrangement. Whoever abandons sin, small and great, secret and public,
sat-sermon_18-383	Allah compensated them with honor and authority, and granted them possession of the eastern and western reaches of the earth. Fellow Muslims,
sat-sermon_19-67	Between these two great principles in the most eloquent combination and the clearest expression of the intended meaning, when he commanded eagerness in taking the means.
sat-sermon_19-134	In what he commands of disbelief in Allah and associating partners with Him. If he does that,
sat-sermon_19-201	In what He commanded: removing the evil that has been decreed by means of the good that has been decreed.
sat-sermon_19-268	Unite the hearts of the Muslims, bring their ranks together, and set their leaders right.
sat-sermon_20-108	Indeed, the one who hates you is the one cut off. In this noble surah, Allah addresses
sat-sermon_20-324	He gave them this abundant good; He gave them the good of this world and the Hereafter; He gave them guidance in this world.
sat-sermon_20-432	Rather, it is honor, victory, authority, and elevation in this world and the Hereafter. So be mindful of Allah; may Allah have mercy on you.
sat-sermon_22-37	That can only happen by following the paths and taking the means that lead to it, and by sincerely seeking refuge with the Sovereign, the Bestower.
sat-sermon_22-75	Through productive work or good, lawful earnings, to keep himself from needing to ask others.
sat-sermon_22-112	Praise through which we seek His mercy and ward off His anger and affliction, and ward off His anger and affliction.
sat-sermon_22-150	The upright leaders, Abu Bakr, Umar, Uthman, and Ali, and all the family and Companions.
sat-sermon_23-78	The stance of people of understanding whom Allah guided, so they followed the soundest paths and found guidance.
sat-sermon_23-235	Those are the ones Allah has guided, and those are the people of understanding. Do not let the worldly life deceive you with its adornments and splendor.
sat-sermon_23-314	Among all the worlds, indeed You are Praiseworthy and Glorious. O Allah, bless Muhammad and the family of Muhammad as You blessed Abraham and the family of Abraham.
sat-sermon_24-44	In obedience to the command of Allah, Mighty and Majestic, and in following the Sunnah of our Prophet Muhammad, peace and blessings be upon him. Hajj is one of the religious obligations.
sat-sermon_24-89	Know that Allah watches over you at all times and in all your circumstances, by night and by day.
sat-sermon_24-133	Then He commanded the believers to do it, whereas the other acts of worship are not like that. O Allah, send blessings and abundant peace upon Your servant and Messenger Muhammad.
sat-sermon_24-178	Make your actions and words subject to the teachings of Islam, and remain steadfast in affirming Allah's oneness and obeying Him, so that you may succeed. O Allah, grant strength to Islam and the Muslims.
sat-sermon_25-55	A straight path. Whatever good he attained in Ramadan must be maintained, and whatever evil he avoided
sat-sermon_25-167	It has no fragrance, and its taste is sweet. He, peace and blessings be upon him, said: The one skilled in reciting the Quran
sat-sermon_25-223	And in the next life, mercy, pardon, and divine pleasure.
sat-sermon_26-91	Restraining one's steps from wrongdoing, extending a generous hand, and conscientiously refraining from harm.
sat-sermon_26-182	For charitable work, and the importance of everyone's involvement in making it succeed.
sat-sermon_26-274	May Allah bless me and you through the Quran and Sunnah, and benefit us and you through the verses and wisdom they contain.
sat-sermon_27-95	Allah has not created or brought into being a soul more honored by Him than Muhammad, peace and blessings be upon him.
sat-sermon_27-191	And has clouded happiness. Its sufferer cannot enjoy sleep, drink, or food; its hours feel like days.
sat-sermon_27-286	The one of magnificent character, compassionate and merciful toward the believers. May Allah send blessings, peace, and grace upon him.
sat-sermon_27-382	In any wording that conveys the intended meaning, when a person is outside prayer, provided it contains no exaggeration.
sat-sermon_28-129	And they remember Allah often. Make obedience to Allah a firm bond for them.
sat-sermon_28-258	Befriend them, speak to them, and make time for them.
sat-sermon_28-387	And fairness, and giving up the search for others' faults.
sat-sermon_28-516	Patriotism means that the sincere citizen is a mirror of his homeland.
sat-sermon_29-118	A person whose heart is ruled by generosity is never narrow-minded. And good character is not attained
sat-sermon_29-236	No, by Allah! Allah will never disgrace you. You maintain the ties of kinship.
sat-sermon_29-354	It calls for looking only with justice and fairness. Therefore, you find the person of good character
sat-sermon_29-472	And it leads to wickedness, as in the saying of the Prophet, peace and blessings be upon him: Beware of lying.
sat-sermon_30-48	A comfort for the lonely and a guide for the bewildered. It is the scale by which words, deeds, and circumstances are weighed.
sat-sermon_30-96	My message to you, male and female teachers, is to be mindful of Allah, Blessed and Exalted, regarding the male and female students in your care.
sat-sermon_30-144	Praise be to Allah for His kindness, and thanks to Him for His guidance and favor. I bear witness that there is no deity but Allah alone, with no partner, in reverence for His greatness.
sat-sermon_30-192	In serving their homelands, so that the course of education may proceed with excellence.
sat-sermon_31-75	When an experience is mentioned to him showing that a certain food or drink has health benefits for the body, he turns to it eagerly and competes to obtain it.
sat-sermon_31-151	Those who shun the worship of false gods and turn to Allah have glad tidings. Such people have avoided the worship of idols.
sat-sermon_31-227	The private parts, too, must be guarded and protected. He, Most High, said: And those who guard their private parts.
sat-sermon_31-303	To achieve that, servant of Allah, you should fill the heart and occupy it with its nourishment and sustenance.
sat-sermon_32-79	It leads to peace of mind, tranquility of the soul, and happiness of the heart.
sat-sermon_32-158	My heart had been sound. Al-Bayhaqi mentioned in his account of the virtues of Imam al-Shafi'i, may Allah have mercy on him,
sat-sermon_32-237	He said: There is no deity but Allah. The Messenger of Allah, peace and blessings be upon him, said: Did you kill him?
sat-sermon_32-316	The Prophet, peace and blessings be upon him, said: Take it easy, you two; she is Safiyyah.
sat-sermon_33-87	The impulses of natural disposition led to submission to his law, and the evidence of reality confirmed the truth of his prophethood.
sat-sermon_33-261	And sound judgment and success in all circumstances and outcomes. Allah, Glorified is He, says:
sat-sermon_33-348	He said: Do not do that. The man said: I want to enter ihram from the mosque, beside the grave.
sat-sermon_34-60	Is torment anything but the torment of the heart? Indeed,
sat-sermon_34-181	I bear witness that there is no deity but Allah alone, with no partner, and I bear witness that Muhammad is His servant and Messenger. May Allah send blessings, peace, and grace upon him.
sat-sermon_34-241	Be good to them both and grant them abundant reward and recompense. And do not miss, O you who have been granted success,
sat-sermon_35-73	Preserving their roots and failing to make up for what has been missed.
sat-sermon_35-146	Its letters and words are few, but its meanings and purposes are many. What is meant by it
sat-sermon_35-293	Protect the sanctuary of the religion, support Your servants who affirm Your oneness, and unite the hearts of the Muslims.
sat-sermon_36-71	What they willingly give and what is within their capacity, without putting them under pressure or demanding every last thing.
sat-sermon_36-142	Enjoin what is right and turn away from the ignorant. And if a temptation from Satan should stir you,
sat-sermon_36-213	I say these words of mine. Ask Allah, the Magnificent and Majestic, to forgive me, you, and all Muslims for every sin.
sat-sermon_36-284	And with the rest of the family, the Companions, and the Followers, and his wives, the Mothers of the Believers, and with us alongside them, through Your pardon.
sat-sermon_37-93	He does not withhold His kindness from them. Rather, His goodness continues to descend upon them while their evil rises to Him.
sat-sermon_37-186	Barefoot, naked, and uncircumcised. The angels receive the believers, congratulating them and bringing glad tidings.
sat-sermon_37-280	He said: At the laughter of the Lord of the worlds when he said: Are You making fun of me while You are the Lord of the worlds?
sat-sermon_37-373	Among the finest acts of filial kindness is for a child to maintain ties with those his father loved. Narrated by Muslim.
sat-sermon_38-84	And what guidance do you seek to follow? Whoever acts in this world in obedience to Allah and His Messenger will not stray from the path of truth.
sat-sermon_38-168	How can a poor man squander his wealth extravagantly on luxuries and useless things, then ask people for help?
sat-sermon_38-253	And all Muslims, for every sin. So seek His forgiveness and turn to Him in repentance. Indeed, He is the All-Forgiving, the Most Merciful.
sat-sermon_38-337	The punishment also reached his father, Abu Lahab, who openly displayed hostility toward the Messenger, peace and blessings be upon him, and did not stop at opposing him.
sat-sermon_39-323	It undermines states and institutions and scatters
sat-sermon_39-484	The sphere of equal opportunities and equality.
sat-sermon_40-43	Submission to Allah through affirming His oneness, denying that He has any partner or equal, and being certain that He created the universe.
sat-sermon_40-86	Allah intends ease for you and does not intend hardship for you. He has permitted good things for us.
sat-sermon_40-129	He, Glorified is He, said: A person will have only what he strives for, and his striving will be seen.
sat-sermon_40-172	The coloring of Allah; who is better than Allah in coloring? And we worship Him.
sat-sermon_41-84	The first foundation of these blessings is what the Prophet, peace and blessings be upon him, began with: the blessing of safety and security.
sat-sermon_41-168	The third foundation of blessings is a person's obtaining enough food for his day.
sat-sermon_41-253	Whoever gains purity of heart and purification of the soul during it becomes, after Ramadan,
sat-sermon_41-337	In the two Sahih collections, Alqamah said: I asked the Mother of the Believers, Aishah, may Allah be pleased with her.
sat-sermon_42-88	You did not travel any distance or cross any valley without their being with you.
sat-sermon_42-176	Then he died along the way. He has attained with Allah the reward of one who emigrated.
sat-sermon_42-264	And he was prevented from doing the deed, Allah recorded for him the reward, Allah recorded for him the reward of the deed.
sat-sermon_42-352	They said: Not even jihad? He said: Not even jihad, except a man who goes out risking his life and wealth.
sat-sermon_43-213	As they competed for it, and it distracts you as it distracted them.
sat-sermon_43-320	He did not call for abandoning it except when it leads one away from Allah and the abode of the Hereafter.
sat-sermon_43-427	An abode of truth for whoever is truthful with it, and an abode of salvation.
sat-sermon_44-74	They know that it was created for them, but do not know that they were not created for it.
sat-sermon_44-148	They are not tales told for amusement and imagination, and we
sat-sermon_44-222	It is increased until it covers his heart. That is the stain that Allah mentioned.
sat-sermon_44-296	Surround us with Your kindness, and let us all die upon Islam, the Sunnah, and the community. Let us die as Muslims.
sat-sermon_45-102	Perhaps you dislike something while it is good for you. Allah may test
sat-sermon_45-204	Community of Islam, the fifth lesson we should recognize is that the community must understand the standing of its homelands.
sat-sermon_45-306	Indeed, He is All-Hearing and Responsive. May Allah bless me and you through the magnificent Quran, and benefit me and you through its verses and wise reminder.
sat-sermon_45-408	The best of those with whose mention supplications are begun and through sending blessings and peace upon whom requests are sought to be fulfilled.
sat-sermon_46-207	Among all the acts of obedience, as stated in the hadith reported by Imam Ahmad in his Musnad.
sat-sermon_46-310	Some follow the path of reciting the Quran; it occupies most of their time and is the greatest of their regular devotions.
sat-sermon_46-414	Let him place his need before the Lord of the House, for His provision has no end and His hand pours forth goodness abundantly.
sat-sermon_47-74	Our Lord, Glorified is He, spoke the truth: We will show them Our signs on the horizons and within themselves. The coronavirus pandemic has traveled to the far reaches of the world.
sat-sermon_47-148	Whether a citizen or a resident on this blessed land, it placed him at the forefront of its concern.
sat-sermon_47-223	Praise that fills the heart with optimism, brightness, and abundant hope. I bear witness that there is no deity but Allah alone, with no partner.
sat-sermon_47-297	Provide him with righteous advisers who guide him toward good and help him do it. O Allah, grant success to him and the crown prince
sat-sermon_48-68	He provides the mindful with sustenance and its means from where they do not expect, gives those who trust in Him more than they ask or hope for, and makes difficult matters easy for them.
sat-sermon_48-137	Trust only in His mercy and grace. Keep your expectations of a long life short, and abandon wishful thinking.
sat-sermon_48-205	He sought Your guidance and You guided him; he sought Your forgiveness and You forgave him; he sought Your help and You helped him.
sat-sermon_48-274	Never neglect these great meanings. Keep them in mind when entering and leaving the mosque, for he, peace and blessings be upon him, said:
sat-sermon_49-411	Beware of heedlessness, for the heart can become hard. Allah reproached certain people.
sat-sermon_50-80	Their steadfastness in obeying His command and their sincere worship of Him. It urges and encourages sincerity in sacrifice, with the intention directed to Allah alone.
sat-sermon_50-161	His fear and awe of Allah, Most High, increase, as He, Glorified is He, said: Among His servants, it is those with knowledge who fear Allah.
sat-sermon_50-241	As shown by Allah commanding them all to stand in one place and depart from it together, with none distinguished from others in standing and departure.
sat-sermon_50-322	And disgraceful traits, after we have obeyed His command, turned to Him, and drawn near to Him through acts of worship.
